Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01921.01","Seed cotton, unginned","2015","2015","kg/ha","1198.4","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01921.01","Seed cotton, unginned","2016","2016","kg/ha","1154.5","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01921.01","Seed cotton, unginned","2017","2017","kg/ha","1154.7","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01921.01","Seed cotton, unginned","2018","2018","kg/ha","1454.6","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01921.01","Seed cotton, unginned","2019","2019","kg/ha","1481","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01921.01","Seed cotton, unginned","2020","2020","kg/ha","1305.3","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01921.01","Seed cotton, unginned","2021","2021","kg/ha","1365.6","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01921.01","Seed cotton, unginned","2022","2022","kg/ha","1320.6","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01921.01","Seed cotton, unginned","2023","2023","kg/ha","1307.9","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01921.01","Seed cotton, unginned","2024","2024","kg/ha","1321.3","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0141","Soya beans","2022","2022","kg/ha","1589.7","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0141","Soya beans","2023","2023","kg/ha","2000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0141","Soya beans","2024","2024","kg/ha","2139.7","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01802","Sugar cane","2015","2015","kg/ha","14471.7","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01802","Sugar cane","2016","2016","kg/ha","13026.3","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01802","Sugar cane","2017","2017","kg/ha","29454.1","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01802","Sugar cane","2018","2018","kg/ha","14394.7","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01802","Sugar cane","2019","2019","kg/ha","22104.1","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01802","Sugar cane","2020","2020","kg/ha","26146.7","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01802","Sugar cane","2021","2021","kg/ha","26190.9","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01802","Sugar cane","2022","2022","kg/ha","34248.7","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01802","Sugar cane","2023","2023","kg/ha","28000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01802","Sugar cane","2024","2024","kg/ha","27383.5","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01445","Sunflower seed","2015","2015","kg/ha","1443.3","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01445","Sunflower seed","2016","2016","kg/ha","1324.1","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01445","Sunflower seed","2017","2017","kg/ha","1290.9","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01445","Sunflower seed","2018","2018","kg/ha","1223.1","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01445","Sunflower seed","2019","2019","kg/ha","899.1","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01445","Sunflower seed","2020","2020","kg/ha","1069.1","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01445","Sunflower seed","2021","2021","kg/ha","1143.7","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01445","Sunflower seed","2022","2022","kg/ha","1099.4","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01445","Sunflower seed","2023","2023","kg/ha","1043.9","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01445","Sunflower seed","2024","2024","kg/ha","1012.3","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0111","Wheat","2015","2015","kg/ha","2195.9","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0111","Wheat","2016","2016","kg/ha","1980.3","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0111","Wheat","2017","2017","kg/ha","2034.2","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0111","Wheat","2018","2018","kg/ha","2210","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0111","Wheat","2019","2019","kg/ha","2095.1","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0111","Wheat","2020","2020","kg/ha","1943.4","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0111","Wheat","2021","2021","kg/ha","1963.1","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0111","Wheat","2022","2022","kg/ha","2045.3","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0111","Wheat","2023","2023","kg/ha","2150.6","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0111","Wheat","2024","2024","kg/ha","2260.9","X","Figure from external organization",""
"QCL","Crops and livestock products","008","Albania","5412","Yield","0115","Barley","2015","2015","kg/ha","2800","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5412","Yield","0115","Barley","2016","2016","kg/ha","2899.5","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5412","Yield","0115","Barley","2017","2017","kg/ha","2947.8","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5412","Yield","0115","Barley","2018","2018","kg/ha","2842.2","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5412","Yield","0115","Barley","2019","2019","kg/ha","2896.4","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5412","Yield","0115","Barley","2020","2020","kg/ha","3353.2","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5412","Yield","0115","Barley","2021","2021","kg/ha","3019.1","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5412","Yield","0115","Barley","2022","2022","kg/ha","3397.2","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5412","Yield","0115","Barley","2023","2023","kg/ha","3383.2","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5412","Yield","0115","Barley","2024","2024","kg/ha","3172.2","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5412","Yield","0112","Maize (corn)","2015","2015","kg/ha","6959.7","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5412","Yield","0112","Maize (corn)","2016","2016","kg/ha","6487.7","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5412","Yield","0112","Maize (corn)","2017","2017","kg/ha","6563.2","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5412","Yield","0112","Maize (corn)","2018","2018","kg/ha","7227.3","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5412","Yield","0112","Maize (corn)","2019","2019","kg/ha","7052.9","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5412","Yield","0112","Maize (corn)","2020","2020","kg/ha","7035.9","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5412","Yield","0112","Maize (corn)","2021","2021","kg/ha","7107.3","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5412","Yield","0112","Maize (corn)","2022","2022","kg/ha","7090.1","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5412","Yield","0112","Maize (corn)","2023","2023","kg/ha","7362.2","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5412","Yield","0112","Maize (corn)","2024","2024","kg/ha","7124.2","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5412","Yield","01921.01","Seed cotton, unginned","2015","2015","kg/ha","1108.1","E","Estimated value",""
"QCL","Crops and livestock products","008","Albania","5412","Yield","01921.01","Seed cotton, unginned","2016","2016","kg/ha","1108.1","E","Estimated value",""
"QCL","Crops and livestock products","008","Albania","5412","Yield","01921.01","Seed cotton, unginned","2017","2017","kg/ha","1108.1","E","Estimated value",""
"QCL","Crops and livestock products","008","Albania","5412","Yield","01921.01","Seed cotton, unginned","2018","2018","kg/ha","1108.1","E","Estimated value",""
"QCL","Crops and livestock products","008","Albania","5412","Yield","01921.01","Seed cotton, unginned","2019","2019","kg/ha","1107.8","E","Estimated value",""
"QCL","Crops and livestock products","008","Albania","5412","Yield","01921.01","Seed cotton, unginned","2020","2020","kg/ha","1108","E","Estimated value",""
"QCL","Crops and livestock products","008","Albania","5412","Yield","01921.01","Seed cotton, unginned","2021","2021","kg/ha","1108","E","Estimated value",""
"QCL","Crops and livestock products","008","Albania","5412","Yield","01921.01","Seed cotton, unginned","2022","2022","kg/ha","1107.9","E","Estimated value",""
"QCL","Crops and livestock products","008","Albania","5412","Yield","01921.01","Seed cotton, unginned","2023","2023","kg/ha","1108","E","Estimated value",""
"QCL","Crops and livestock products","008","Albania","5412","Yield","01921.01","Seed cotton, unginned","2024","2024","kg/ha","1108","E","Estimated value",""
"QCL","Crops and livestock products","008","Albania","5412","Yield","0141","Soya beans","2015","2015","kg/ha","2500","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5412","Yield","0141","Soya beans","2016","2016","kg/ha","2515.2","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5412","Yield","0141","Soya beans","2017","2017","kg/ha","2202.6","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5412","Yield","0141","Soya beans","2018","2018","kg/ha","2940.7","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5412","Yield","0141","Soya beans","2019","2019","kg/ha","2762.6","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5412","Yield","0141","Soya beans","2020","2020","kg/ha","2578.9","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5412","Yield","0141","Soya beans","2021","2021","kg/ha","2414.2","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5412","Yield","0141","Soya beans","2022","2022","kg/ha","2870.3","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5412","Yield","0141","Soya beans","2023","2023","kg/ha","2863.2","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5412","Yield","0141","Soya beans","2024","2024","kg/ha","2403.9","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5412","Yield","01445","Sunflower seed","2015","2015","kg/ha","2857.1","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5412","Yield","01445","Sunflower seed","2016","2016","kg/ha","2899.7","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5412","Yield","01445","Sunflower seed","2017","2017","kg/ha","2225.1","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5412","Yield","01445","Sunflower seed","2018","2018","kg/ha","2280.3","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5412","Yield","01445","Sunflower seed","2019","2019","kg/ha","2307.5","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5412","Yield","01445","Sunflower seed","2020","2020","kg/ha","2322.9","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5412","Yield","01445","Sunflower seed","2021","2021","kg/ha","2379.2","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5412","Yield","01445","Sunflower seed","2022","2022","kg/ha","2369.4","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5412","Yield","01445","Sunflower seed","2023","2023","kg/ha","2354.7","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5412","Yield","01445","Sunflower seed","2024","2024","kg/ha","2162.7","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5412","Yield","0111","Wheat","2015","2015","kg/ha","3951.1","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5412","Yield","0111","Wheat","2016","2016","kg/ha","3900","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5412","Yield","0111","Wheat","2017","2017","kg/ha","4036.7","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5412","Yield","0111","Wheat","2018","2018","kg/ha","3692.7","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5412","Yield","0111","Wheat","2019","2019","kg/ha","4068","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5412","Yield","0111","Wheat","2020","2020","kg/ha","4327.1","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5412","Yield","0111","Wheat","2021","2021","kg/ha","4130.5","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5412","Yield","0111","Wheat","2022","2022","kg/ha","4296.3","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5412","Yield","0111","Wheat","2023","2023","kg/ha","4053.9","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5412","Yield","0111","Wheat","2024","2024","kg/ha","3933.3","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","0115","Barley","2015","2015","kg/ha","1284.4","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","0115","Barley","2016","2016","kg/ha","744.1","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","0115","Barley","2017","2017","kg/ha","744.1","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","0115","Barley","2018","2018","kg/ha","1811.9","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","0115","Barley","2019","2019","kg/ha","1454.3","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","0115","Barley","2020","2020","kg/ha","1240.3","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","0115","Barley","2021","2021","kg/ha","1056.6","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","0115","Barley","2022","2022","kg/ha","1195.6","E","Estimated value",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","0115","Barley","2023","2023","kg/ha","1283.5","E","Estimated value",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","0115","Barley","2024","2024","kg/ha","1253.8","E","Estimated value",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","0112","Maize (corn)","2015","2015","kg/ha","3924.2","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","0112","Maize (corn)","2016","2016","kg/ha","4512.2","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","0112","Maize (corn)","2017","2017","kg/ha","1300.7","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","0112","Maize (corn)","2018","2018","kg/ha","4441.6","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","0112","Maize (corn)","2019","2019","kg/ha","4153.9","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","0112","Maize (corn)","2020","2020","kg/ha","6073.9","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","0112","Maize (corn)","2021","2021","kg/ha","5127.8","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","0112","Maize (corn)","2022","2022","kg/ha","5500","X","Figure from external organization",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","0112","Maize (corn)","2023","2023","kg/ha","6000","X","Figure from external organization",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","0112","Maize (corn)","2024","2024","kg/ha","6000","X","Figure from external organization",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","0113","Rice","2015","2015","kg/ha","1793.9","E","Estimated value",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","0113","Rice","2016","2016","kg/ha","1782.7","E","Estimated value",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","0113","Rice","2017","2017","kg/ha","1793.9","E","Estimated value",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","0113","Rice","2018","2018","kg/ha","1790.1","E","Estimated value",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","0113","Rice","2019","2019","kg/ha","1788.9","E","Estimated value",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","0113","Rice","2020","2020","kg/ha","1792.7","E","Estimated value",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","0113","Rice","2021","2021","kg/ha","1882.3","E","Estimated value",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","0113","Rice","2022","2022","kg/ha","1853.8","E","Estimated value",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","0113","Rice","2023","2023","kg/ha","1878.7","E","Estimated value",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","0113","Rice","2024","2024","kg/ha","1899.1","E","Estimated value",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","01921.01","Seed cotton, unginned","2015","2015","kg/ha","307.7","E","Estimated value",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","01921.01","Seed cotton, unginned","2016","2016","kg/ha","307.7","E","Estimated value",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","01921.01","Seed cotton, unginned","2017","2017","kg/ha","307.7","E","Estimated value",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","01921.01","Seed cotton, unginned","2018","2018","kg/ha","307.7","E","Estimated value",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","01921.01","Seed cotton, unginned","2019","2019","kg/ha","306.4","E","Estimated value",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","01921.01","Seed cotton, unginned","2020","2020","kg/ha","308.7","E","Estimated value",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","01921.01","Seed cotton, unginned","2021","2021","kg/ha","317.4","E","Estimated value",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","01921.01","Seed cotton, unginned","2022","2022","kg/ha","322","E","Estimated value",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","01921.01","Seed cotton, unginned","2023","2023","kg/ha","316.1","E","Estimated value",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","01921.01","Seed cotton, unginned","2024","2024","kg/ha","318.5","E","Estimated value",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","01445","Sunflower seed","2015","2015","kg/ha","441.6","E","Estimated value",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","01445","Sunflower seed","2016","2016","kg/ha","443.7","E","Estimated value",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","01445","Sunflower seed","2017","2017","kg/ha","446.9","E","Estimated value",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","01445","Sunflower seed","2018","2018","kg/ha","449.7","E","Estimated value",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","01445","Sunflower seed","2019","2019","kg/ha","452.6","E","Estimated value",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","01445","Sunflower seed","2020","2020","kg/ha","449.8","E","Estimated value",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","01445","Sunflower seed","2021","2021","kg/ha","450.7","E","Estimated value",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","01445","Sunflower seed","2022","2022","kg/ha","451","E","Estimated value",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","01445","Sunflower seed","2023","2023","kg/ha","450.5","E","Estimated value",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","01445","Sunflower seed","2024","2024","kg/ha","450.7","E","Estimated value",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","0111","Wheat","2015","2015","kg/ha","1464","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","0111","Wheat","2016","2016","kg/ha","1183.3","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","0111","Wheat","2017","2017","kg/ha","1150.1","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","0111","Wheat","2018","2018","kg/ha","2043.3","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","0111","Wheat","2019","2019","kg/ha","1963","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","0111","Wheat","2020","2020","kg/ha","1681.1","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","0111","Wheat","2021","2021","kg/ha","1584.3","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","0111","Wheat","2022","2022","kg/ha","1666.7","X","Figure from external organization",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","0111","Wheat","2023","2023","kg/ha","1388.9","X","Figure from external organization",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","0111","Wheat","2024","2024","kg/ha","1666.7","X","Figure from external organization",""
"QCL","Crops and livestock products","024","Angola","5412","Yield","0112","Maize (corn)","2015","2015","kg/ha","1123.4","A","Official figure",""
"QCL","Crops and livestock products","024","Angola","5412","Yield","0112","Maize (corn)","2016","2016","kg/ha","978.5","A","Official figure",""
"QCL","Crops and livestock products","024","Angola","5412","Yield","0112","Maize (corn)","2017","2017","kg/ha","893.5","A","Official figure",""
"QCL","Crops and livestock products","024","Angola","5412","Yield","0112","Maize (corn)","2018","2018","kg/ha","1047.7","A","Official figure",""
"QCL","Crops and livestock products","024","Angola","5412","Yield","0112","Maize (corn)","2019","2019","kg/ha","1066.6","A","Official figure",""
"QCL","Crops and livestock products","024","Angola","5412","Yield","0112","Maize (corn)","2020","2020","kg/ha","1099.3","A","Official figure",""
"QCL","Crops and livestock products","024","Angola","5412","Yield","0112","Maize (corn)","2021","2021","kg/ha","1083.6","A","Official figure",""
"QCL","Crops and livestock products","024","Angola","5412","Yield","0112","Maize (corn)","2022","2022","kg/ha","1120.3","A","Official figure",""
"QCL","Crops and livestock products","024","Angola","5412","Yield","0112","Maize (corn)","2023","2023","kg/ha","1155.1","A","Official figure",""
"QCL","Crops and livestock products","024","Angola","5412","Yield","0112","Maize (corn)","2024","2024","kg/ha","1189","A","Official figure",""
"QCL","Crops and livestock products","024","Angola","5412","Yield","0113","Rice","2015","2015","kg/ha","1506.8","A","Official figure",""
"QCL","Crops and livestock products","024","Angola","5412","Yield","0113","Rice","2016","2016","kg/ha","1529.5","A","Official figure",""
"QCL","Crops and livestock products","024","Angola","5412","Yield","0113","Rice","2017","2017","kg/ha","863.8","A","Official figure",""
"QCL","Crops and livestock products","024","Angola","5412","Yield","0113","Rice","2018","2018","kg/ha","1152.3","A","Official figure",""
"QCL","Crops and livestock products","024","Angola","5412","Yield","0113","Rice","2019","2019","kg/ha","1193.1","A","Official figure",""
"QCL","Crops and livestock products","024","Angola","5412","Yield","0113","Rice","2020","2020","kg/ha","1237.5","A","Official figure",""
"QCL","Crops and livestock products","024","Angola","5412","Yield","0113","Rice","2021","2021","kg/ha","1226.6","A","Official figure",""
"QCL","Crops and livestock products","024","Angola","5412","Yield","0113","Rice","2022","2022","kg/ha","1232.3","A","Official figure",""
"QCL","Crops and livestock products","024","Angola","5412","Yield","0113","Rice","2023","2023","kg/ha","2476.1","A","Official figure",""
"QCL","Crops and livestock products","024","Angola","5412","Yield","0113","Rice","2024","2024","kg/ha","2815.5","A","Official figure",""
"QCL","Crops and livestock products","024","Angola","5412","Yield","01921.01","Seed cotton, unginned","2015","2015","kg/ha","1000","E","Estimated value",""
"QCL","Crops and livestock products","024","Angola","5412","Yield","01921.01","Seed cotton, unginned","2016","2016","kg/ha","1000","E","Estimated value",""
